DATA CARTA;REGIÃO;MASSA DE AR;DESCRIÇÃO;;;;;;;;;;;;;;;;;
2024-01-01 00:00:00;Norte;mEc;A região destacada está sob influência da massa Equatorial Continental, caracterizada pela presença de umidade e calor sobre a bacia amazônica, sem influência de fluxos oceânicos o;Verão;;;;;;;;;;;;;;;;
2024-01-01 00:00:00;Nordeste;mTa;Regiao sob predominio de fluxo de borda da ASAS, apresentando caracteristicas tipicas de massa tropical maritima quente e umida sobre o setor leste e interior nordestino.;Verão;;;;;;;;;;;;;;;;
2024-01-01 00:00:00;Litoral;mTa;A regiao sob o retangulo esta sob a influencia do fluxo instavel da massa tropical atlantica, caracterizada pelo gradiente de pressao tipico da circulacao maritima nesta faixa cost;Verão;;;;;;;;;;;;;;;;
2024-01-01 00:00:00;Centro;mTa;Região sob influência da circulação do quadrante oceânico, caracterizada por transporte de umidade e nebulosidade vinda do Atlântico, predominando as características da mTa.;Verão;;;;;;;;;;;;;;;;
2024-01-01 00:00:00;Sul;mPa;Região sob influência de advecção fria e umida, localizada no setor pós-frontal do sistema analisado, caracterizando o ingresso da Massa Polar Atlântica.;Verão;;;;;;;;;;;;;;;;
2024-01-02 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica e áreas continentais adjacentes, estando sob o domínio de massa de ar quente e úmida de origem continental, característica da mEc.;Verão;;;;;;;;;;;;;;;;
2024-01-02 00:00:00;Nordeste;mTa;A região encontra-se sob influência do fluxo de leste/sudeste proveniente do Atlântico Tropical, caracterizando o domínio da massa Tropical Atlântica com elevados teores de umidade;Verão;;;;;;;;;;;;;;;;
2024-01-02 00:00:00;Litoral;mTa;O litoral delimitado encontra-se sob o fluxo do quadrante leste/sudeste associado ao escoamento da alta pressão subtropical, caracterizando o domínio da massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;
2024-01-02 00:00:00;Centro;mTa;A região encontra-se submetida ao fluxo de norte/nordeste do escoamento periférico da ASAS, que transporta ar tropical marítimo quente e úmido para o interior do Brasil central.;Verão;;;;;;;;;;;;;;;;
2024-01-02 00:00:00;Sul;mTa;A região encontra-se sob domínio do escoamento marítimo de leste/nordeste, característico da circulação da alta subtropical, estabelecendo condições quentes e úmidas (mTa).;Verão;;;;;;;;;;;;;;;;
