DATA CARTA;REGIÃO;MASSA DE AR;DESCRIÇÃO;;;;;;;;;;;;;;;;;
2022-01-01 00:00:00;Norte;mEc;Regiao central e norte da Amazonia apresentando caracteristicas tipicas de uma massa quente e umida, mantendo estabilidade continental sem influencia de frentes frias.;Verão;;;;;;;;;;;;;;;;
2022-01-01 00:00:00;Nordeste;mTa;Predominância de ar quente e úmido transportado pelos ventos de leste provenientes do setor oceânico, caracterizando a influência da massa Tropical Atlântica na região delimitada.;Verão;;;;;;;;;;;;;;;;
2022-01-01 00:00:00;Litoral;mTa;A região delimitada está sob forte influência do escoamento marítimo de leste, característico da circulação da massa tropical atlântica, garantindo ar quente e úmido no litoral.;Verão;;;;;;;;;;;;;;;;
2022-01-01 00:00:00;Centro;mTc;Região do interior do continente, sob influência de ar quente e seco típico da Depressão do Chaco, sem influência direta de ar polar ou fluxo úmido oceânico.;Verão;;;;;;;;;;;;;;;;
2022-01-01 00:00:00;Sul;mTa;A região destacada apresenta circulação anticiclônica associada à alta pressão oceânica, caracterizando a atuação da Massa Tropical Atlântica com tempo quente e úmido.;Verão;;;;;;;;;;;;;;;;
2022-01-02 00:00:00;Norte;mEc;Região central e norte da Amazônia sob influência da massa Equatorial Continental, caracterizada por elevados índices de umidade e calor sobre o interior do continente.;Verão;;;;;;;;;;;;;;;;
2022-01-02 00:00:00;Nordeste;mTa;Predominio de fluxo marítimo sob influência do anticiclone subtropical do Atlântico Sul, transportando ar quente e úmido para o setor leste da região Nordeste.;Verão;;;;;;;;;;;;;;;;
2022-01-02 00:00:00;Litoral;mTa;A regiao apresenta caracteristicas de alta pressao subtropical, sob forte controle da circulacao maritima que transporta umidade e calor, definindo o dominio da mTa.;Verão;;;;;;;;;;;;;;;;
2022-01-02 00:00:00;Centro;mTc;Região situada no interior continental sobre o Mato Grosso do Sul e norte do Paraná, caracterizada por temperaturas altas e estabilidade típica do Chaco, sem influência oceânica.;Verão;;;;;;;;;;;;;;;;
2022-01-02 00:00:00;Sul;mTa;A região encontra-se sob influência da circulação marítima característica da massa Tropical Atlântica, mantendo condições térmicas e de umidade típicas do setor leste do continente;Verão;;;;;;;;;;;;;;;;
2022-01-03 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica, onde o regime térmico e a umidade elevada confirmam a atuação predominante da Massa Equatorial Continental.;Verão;;;;;;;;;;;;;;;;
2022-01-03 00:00:00;Nordeste;mTa;Regiao sob predominio do fluxo de leste da alta pressao subtropical do Atlantico Sul, caracterizando a atuacao da massa de ar Tropical Atlantica, quente e umida.;Verão;;;;;;;;;;;;;;;;
2022-01-03 00:00:00;Litoral;mTa;A regiao delimitada esta sob influencia direta do fluxo maritimo do quadrante leste, caracteristico da Massa Tropical Atlantica, que predomina em toda a faixa costeira do litoral l;Verão;;;;;;;;;;;;;;;;
